"native","family","physiognomy","synonymGC","commonName","nameDNR"
"N","Brassicaceae","H","Arabis laevigata, Arabis laevigata var. laevigata","smooth rock cress","Boechera laevigata"
"N","Brassicaceae","H","Arabis missouriensis","green rock cress","Boechera missouriensis"
"N","Brassicaceae","H","Arabis drummondii","Drummond's rock cress","Boechera stricta"
"N","Urticaceae","H","Boehmeria cylindrica","false nettle","Boehmeria cylindrica"
"N","Cyperaceae","G","Scirpus fluviatilis","river bulrush","Bolboschoenus fluviatilis"
"N","Cyperaceae","G","Scirpus maritimus var. paludosus","prairie bulrush","Bolboschoenus maritimus subsp. paludosus"
"N","Asteraceae","H","Boltonia asteroides","false aster","Boltonia asteroides"
"N","Asteraceae","H","Boltonia asteroides var. latisquama","false aster","Boltonia asteroides var. latisquama"
"N","Asteraceae","H","Boltonia asteroides var. recognita","false aster","Boltonia asteroides var. recognita"
"N","Ophioglossaceae","H","Botrychium lanceolatum, Botrychium lanceolatum var. angustisegmentum","narrow triangle moonwort","Botrychium angustisegmentum"
"N","Ophioglossaceae","H","","upswept moonwort","Botrychium ascendens"
"N","Ophioglossaceae","H","","prairie moonwort","Botrychium campestre"
"N","Ophioglossaceae","H","Botrychium campestre","prairie moonwort","Botrychium campestre var. campestre"
"N","Ophioglossaceae","H","","slender prairie moonwort","Botrychium campestre var. lineare"
"N","Ophioglossaceae","H","","crenulate moonwort","Botrychium crenulatum"
"N","Ophioglossaceae","H","","Frenchman's Bluff moonwort","Botrychium gallicomontanum"
"N","Ophioglossaceae","H","Botrychium matricariaefolium var. matricariaefolium","daisy-leaved moonwort","Botrychium matricariifolium"
"N","Ophioglossaceae","H","","Michigan moonwort","Botrychium michiganense"
"N","Ophioglossaceae","H","Botrychium minganense","Mingan moonwort","Botrychium minganense"
"N","Ophioglossaceae","H","Botrychium mormo","little goblin","Botrychium mormo"
"N","Ophioglossaceae","H","Botrychium lunaria","New World moonwort","Botrychium neolunaria"
"N","Ophioglossaceae","H","","pale moonwort","Botrychium pallidum"
"N","Ophioglossaceae","H","Botrychium simplex var. simplex","least moonwort","Botrychium simplex var. simplex"
"N","Ophioglossaceae","H","","spatulate moonwort","Botrychium spathulatum"
"N","Ophioglossaceae","H","","swamp moonwort ","Botrychium tenebrosum"
"N","Ophioglossaceae","H","Botrychium virginianum","rattlesnake fern","Botrypus virginianus"
"N","Poaceae","G","Bouteloua curtipendula var. curtipendula","side-oats grama","Bouteloua curtipendula var. curtipendula"
"N","Poaceae","G","Bouteloua gracilis","blue grama","Bouteloua gracilis"
"N","Poaceae","G","","hairy grama","Bouteloua hirsuta var. hirsuta"
"N","Poaceae","G","Brachyelytrum erectum s.l., Brachyelytrum erectum var. glabratum","northern shorthusk","Brachyelytrum aristosum"
"N","Poaceae","G","Brachyelytrum erectum s.l., Brachyelytrum erectum var. erectum","bearded shorthusk","Brachyelytrum erectum"
"N","Cabombaceae","F,H","Brasenia schreberi","watershield","Brasenia schreberi"
"I","Brassicaceae","H","Brassica juncea","Indian mustard","Brassica juncea"
"I","Brassicaceae","H","Brassica nigra","black mustard","Brassica nigra"
"I","Brassicaceae","H","Brassica rapa","field mustard","Brassica rapa"
"N","Asteraceae","H","Kuhnia eupatorioides var. corymbulosa","false boneset","Brickellia eupatorioides var. corymbulosa"
"N","Poaceae","G","Bromus ciliatus","fringed brome","Bromus ciliatus"
"I","Poaceae","G","Bromus inermis","smooth brome","Bromus inermis"
"I","Poaceae","G","Bromus japonicus","Japanese brome","Bromus japonicus"
"N","Poaceae","G","Bromus kalmii","Kalm's brome","Bromus kalmii"
"N","Poaceae","G","Bromus altissimus","broad-glumed brome","Bromus latiglumis"
"N","Poaceae","G","Bromus pubescens","hairy brome","Bromus pubescens"
"I","Poaceae","G","Bromus secalinus","rye brome","Bromus secalinus"
"I","Poaceae","G","Bromus tectorum","cheatgrass","Bromus tectorum"
"N","Poaceae","G","Buchloe dactyloides","buffalo grass","Buchloe dactyloides"
"N","Cyperaceae","G","Bulbostylis capillaris","densetuft hairsedge","Bulbostylis capillaris"
"I","Butomaceae","H","Butomus umbellatus","flowering rush","Butomus umbellatus"
"N","Poaceae","G","Calamagrostis canadensis","bluejoint","Calamagrostis canadensis"
"N","Poaceae","G","Calamagrostis canadensis","bluejoint","Calamagrostis canadensis var. canadensis"
"N","Poaceae","G","Calamagrostis canadensis","bluejoint","Calamagrostis canadensis var. langsdorfii"
"N","Poaceae","G","Calamagrostis canadensis","bluejoint","Calamagrostis canadensis var. macouniana"
"N","Poaceae","G","Calamagrostis montanensis","Plains reedgrass","Calamagrostis montanensis"
"N","Poaceae","G","Calamagrostis purpurascens","purple reedgrass","Calamagrostis purpurascens"
"N","Poaceae","G","Calamagrostis stricta","slimstem reedgrass","Calamagrostis stricta"
"N","Poaceae","G","Calamagrostis lacustris, Calamagrostis stricta","slimstem reedgrass","Calamagrostis stricta subsp. inexpansa"
"N","Poaceae","G","","narrow reedgrass","Calamagrostis stricta subsp. stricta"
"N","Poaceae","G","Calamovilfa longifolia var. longifolia","prairie sandreed","Calamovilfa longifolia var. longifolia"
"N","Araceae","H","Calla palustris","wild calla","Calla palustris"
"N","Malvaceae","H","Callirhoe triangulata","clustered poppy-mallow","Callirhoe triangulata"
"N","Callitrichaceae","F,H","Callitriche hermaphroditica","autumn water starwort","Callitriche hermaphroditica"
"N","Callitrichaceae","F,H","Callitriche heterophylla","larger water starwort","Callitriche heterophylla"
"N","Callitrichaceae","F,H","Callitriche palustris","spring water starwort","Callitriche palustris"
